clip_id,identity_id,cam_id,take_id,clip_path,notes
person_001_cam_1_01,person_001,cam_1,01,data/labeld_clips/person_001/cam_1_01.mp4,
person_001_cam_1_02,person_001,cam_1,02,data/labeld_clips/person_001/cam_1_02.mp4,
person_001_cam_2_01,person_001,cam_2,01,data/labeld_clips/person_001/cam_2_01.mp4,
person_001_cam_2_02,person_001,cam_2,02,data/labeld_clips/person_001/cam_2_02.mp4,
person_002_cam_1_01,person_002,cam_1,01,data/labeld_clips/person_002/cam_1_01.mp4,
person_002_cam_2_01,person_002,cam_2,01,data/labeld_clips/person_002/cam_2_01.mp4,
person_002_cam_2_02,person_002,cam_2,02,data/labeld_clips/person_002/cam_2_02.mp4,
person_002_cam_2_03,person_002,cam_2,03,data/labeld_clips/person_002/cam_2_03.mp4,
person_002_cam_2_04,person_002,cam_2,04,data/labeld_clips/person_002/cam_2_04.mp4,
person_002_cam_3_01,person_002,cam_3,01,data/labeld_clips/person_002/cam_3_01.mp4,
person_002_cam_4_01,person_002,cam_4,01,data/labeld_clips/person_002/cam_4_01.mp4,
person_003_cam_1_01,person_003,cam_1,01,data/labeld_clips/person_003/cam_1_01.mp4,
person_003_cam_1_02,person_003,cam_1,02,data/labeld_clips/person_003/cam_1_02.mp4,
person_003_cam_1_03,person_003,cam_1,03,data/labeld_clips/person_003/cam_1_03.mp4,
person_003_cam_1_04,person_003,cam_1,04,data/labeld_clips/person_003/cam_1_04.mp4,
person_003_cam_2_01,person_003,cam_2,01,data/labeld_clips/person_003/cam_2_01.mp4,
person_003_cam_3_01,person_003,cam_3,01,data/labeld_clips/person_003/cam_3_01.mp4,
person_003_cam_4_01,person_003,cam_4,01,data/labeld_clips/person_003/cam_4_01.mp4,
