pair_id,clip_id_a,clip_id_b,identity_id_a,identity_id_b,label,pair_type,notes
pair_000001,person_001_cam_1_01,person_001_cam_2_01,person_001,person_001,1,same_cross_camera,
pair_000002,person_001_cam_1_01,person_001_cam_2_02,person_001,person_001,1,same_cross_camera,
pair_000003,person_001_cam_1_02,person_001_cam_2_01,person_001,person_001,1,same_cross_camera,
pair_000004,person_001_cam_1_02,person_001_cam_2_02,person_001,person_001,1,same_cross_camera,
pair_000005,person_001_cam_1_01,person_001_cam_1_02,person_001,person_001,1,same_same_camera,
pair_000006,person_001_cam_2_01,person_001_cam_2_02,person_001,person_001,1,same_same_camera,
pair_000007,person_002_cam_1_01,person_002_cam_2_01,person_002,person_002,1,same_cross_camera,
pair_000008,person_002_cam_1_01,person_002_cam_2_02,person_002,person_002,1,same_cross_camera,
pair_000009,person_002_cam_1_01,person_002_cam_2_03,person_002,person_002,1,same_cross_camera,
pair_000010,person_002_cam_1_01,person_002_cam_2_04,person_002,person_002,1,same_cross_camera,
pair_000011,person_002_cam_1_01,person_002_cam_3_01,person_002,person_002,1,same_cross_camera,
pair_000012,person_002_cam_1_01,person_002_cam_4_01,person_002,person_002,1,same_cross_camera,
pair_000013,person_002_cam_2_01,person_002_cam_3_01,person_002,person_002,1,same_cross_camera,
pair_000014,person_002_cam_2_01,person_002_cam_4_01,person_002,person_002,1,same_cross_camera,
pair_000015,person_002_cam_2_02,person_002_cam_3_01,person_002,person_002,1,same_cross_camera,
pair_000016,person_002_cam_2_02,person_002_cam_4_01,person_002,person_002,1,same_cross_camera,
pair_000017,person_002_cam_2_03,person_002_cam_3_01,person_002,person_002,1,same_cross_camera,
pair_000018,person_002_cam_2_03,person_002_cam_4_01,person_002,person_002,1,same_cross_camera,
pair_000019,person_002_cam_2_04,person_002_cam_3_01,person_002,person_002,1,same_cross_camera,
pair_000020,person_002_cam_2_04,person_002_cam_4_01,person_002,person_002,1,same_cross_camera,
pair_000021,person_002_cam_3_01,person_002_cam_4_01,person_002,person_002,1,same_cross_camera,
pair_000022,person_002_cam_2_01,person_002_cam_2_02,person_002,person_002,1,same_same_camera,
pair_000023,person_002_cam_2_01,person_002_cam_2_03,person_002,person_002,1,same_same_camera,
pair_000024,person_002_cam_2_01,person_002_cam_2_04,person_002,person_002,1,same_same_camera,
pair_000025,person_002_cam_2_02,person_002_cam_2_03,person_002,person_002,1,same_same_camera,
pair_000026,person_002_cam_2_02,person_002_cam_2_04,person_002,person_002,1,same_same_camera,
pair_000027,person_002_cam_2_03,person_002_cam_2_04,person_002,person_002,1,same_same_camera,
pair_000028,person_003_cam_1_01,person_003_cam_2_01,person_003,person_003,1,same_cross_camera,
pair_000029,person_003_cam_1_01,person_003_cam_3_01,person_003,person_003,1,same_cross_camera,
pair_000030,person_003_cam_1_01,person_003_cam_4_01,person_003,person_003,1,same_cross_camera,
pair_000031,person_003_cam_1_02,person_003_cam_2_01,person_003,person_003,1,same_cross_camera,
pair_000032,person_003_cam_1_02,person_003_cam_3_01,person_003,person_003,1,same_cross_camera,
pair_000033,person_003_cam_1_02,person_003_cam_4_01,person_003,person_003,1,same_cross_camera,
pair_000034,person_003_cam_1_03,person_003_cam_2_01,person_003,person_003,1,same_cross_camera,
pair_000035,person_003_cam_1_03,person_003_cam_3_01,person_003,person_003,1,same_cross_camera,
pair_000036,person_003_cam_1_03,person_003_cam_4_01,person_003,person_003,1,same_cross_camera,
pair_000037,person_003_cam_1_04,person_003_cam_2_01,person_003,person_003,1,same_cross_camera,
pair_000038,person_003_cam_1_04,person_003_cam_3_01,person_003,person_003,1,same_cross_camera,
pair_000039,person_003_cam_1_04,person_003_cam_4_01,person_003,person_003,1,same_cross_camera,
pair_000040,person_003_cam_2_01,person_003_cam_3_01,person_003,person_003,1,same_cross_camera,
pair_000041,person_003_cam_2_01,person_003_cam_4_01,person_003,person_003,1,same_cross_camera,
pair_000042,person_003_cam_3_01,person_003_cam_4_01,person_003,person_003,1,same_cross_camera,
pair_000043,person_003_cam_1_01,person_003_cam_1_02,person_003,person_003,1,same_same_camera,
pair_000044,person_003_cam_1_01,person_003_cam_1_03,person_003,person_003,1,same_same_camera,
pair_000045,person_003_cam_1_01,person_003_cam_1_04,person_003,person_003,1,same_same_camera,
pair_000046,person_003_cam_1_02,person_003_cam_1_03,person_003,person_003,1,same_same_camera,
pair_000047,person_003_cam_1_02,person_003_cam_1_04,person_003,person_003,1,same_same_camera,
pair_000048,person_003_cam_1_03,person_003_cam_1_04,person_003,person_003,1,same_same_camera,
pair_000049,person_001_cam_1_01,person_002_cam_1_01,person_001,person_002,0,hard_negative_same_camera,
pair_000050,person_001_cam_1_01,person_003_cam_1_01,person_001,person_003,0,hard_negative_same_camera,
pair_000051,person_001_cam_1_01,person_003_cam_1_02,person_001,person_003,0,hard_negative_same_camera,
pair_000052,person_001_cam_1_01,person_003_cam_1_03,person_001,person_003,0,hard_negative_same_camera,
pair_000053,person_001_cam_1_01,person_003_cam_1_04,person_001,person_003,0,hard_negative_same_camera,
pair_000054,person_001_cam_1_02,person_002_cam_1_01,person_001,person_002,0,hard_negative_same_camera,
pair_000055,person_001_cam_1_02,person_003_cam_1_01,person_001,person_003,0,hard_negative_same_camera,
pair_000056,person_001_cam_1_02,person_003_cam_1_02,person_001,person_003,0,hard_negative_same_camera,
pair_000057,person_001_cam_1_02,person_003_cam_1_03,person_001,person_003,0,hard_negative_same_camera,
pair_000058,person_001_cam_1_02,person_003_cam_1_04,person_001,person_003,0,hard_negative_same_camera,
pair_000059,person_001_cam_2_01,person_002_cam_2_01,person_001,person_002,0,hard_negative_same_camera,
pair_000060,person_001_cam_2_01,person_002_cam_2_02,person_001,person_002,0,hard_negative_same_camera,
pair_000061,person_001_cam_2_01,person_002_cam_2_03,person_001,person_002,0,hard_negative_same_camera,
pair_000062,person_001_cam_2_01,person_002_cam_2_04,person_001,person_002,0,hard_negative_same_camera,
pair_000063,person_001_cam_2_01,person_003_cam_2_01,person_001,person_003,0,hard_negative_same_camera,
pair_000064,person_001_cam_2_02,person_002_cam_2_01,person_001,person_002,0,hard_negative_same_camera,
pair_000065,person_001_cam_2_02,person_002_cam_2_02,person_001,person_002,0,hard_negative_same_camera,
pair_000066,person_001_cam_2_02,person_002_cam_2_03,person_001,person_002,0,hard_negative_same_camera,
pair_000067,person_001_cam_2_02,person_002_cam_2_04,person_001,person_002,0,hard_negative_same_camera,
pair_000068,person_001_cam_2_02,person_003_cam_2_01,person_001,person_003,0,hard_negative_same_camera,
pair_000069,person_002_cam_1_01,person_003_cam_1_01,person_002,person_003,0,hard_negative_same_camera,
pair_000070,person_002_cam_1_01,person_003_cam_1_02,person_002,person_003,0,hard_negative_same_camera,
pair_000071,person_002_cam_1_01,person_003_cam_1_03,person_002,person_003,0,hard_negative_same_camera,
pair_000072,person_002_cam_1_01,person_003_cam_1_04,person_002,person_003,0,hard_negative_same_camera,
pair_000073,person_002_cam_2_01,person_003_cam_2_01,person_002,person_003,0,hard_negative_same_camera,
pair_000074,person_002_cam_2_02,person_003_cam_2_01,person_002,person_003,0,hard_negative_same_camera,
pair_000075,person_002_cam_2_03,person_003_cam_2_01,person_002,person_003,0,hard_negative_same_camera,
pair_000076,person_002_cam_2_04,person_003_cam_2_01,person_002,person_003,0,hard_negative_same_camera,
pair_000077,person_002_cam_3_01,person_003_cam_3_01,person_002,person_003,0,hard_negative_same_camera,
pair_000078,person_002_cam_4_01,person_003_cam_4_01,person_002,person_003,0,hard_negative_same_camera,
pair_000079,person_001_cam_1_01,person_002_cam_2_01,person_001,person_002,0,negative_cross_camera,
pair_000080,person_001_cam_1_01,person_002_cam_2_02,person_001,person_002,0,negative_cross_camera,
pair_000081,person_001_cam_1_01,person_002_cam_2_03,person_001,person_002,0,negative_cross_camera,
pair_000082,person_001_cam_1_01,person_002_cam_2_04,person_001,person_002,0,negative_cross_camera,
pair_000083,person_001_cam_1_01,person_002_cam_3_01,person_001,person_002,0,negative_cross_camera,
pair_000084,person_001_cam_1_01,person_002_cam_4_01,person_001,person_002,0,negative_cross_camera,
pair_000085,person_001_cam_1_01,person_003_cam_2_01,person_001,person_003,0,negative_cross_camera,
pair_000086,person_001_cam_1_01,person_003_cam_3_01,person_001,person_003,0,negative_cross_camera,
pair_000087,person_001_cam_1_01,person_003_cam_4_01,person_001,person_003,0,negative_cross_camera,
pair_000088,person_001_cam_1_02,person_002_cam_2_01,person_001,person_002,0,negative_cross_camera,
pair_000089,person_001_cam_1_02,person_002_cam_2_02,person_001,person_002,0,negative_cross_camera,
pair_000090,person_001_cam_1_02,person_002_cam_2_03,person_001,person_002,0,negative_cross_camera,
pair_000091,person_001_cam_1_02,person_002_cam_2_04,person_001,person_002,0,negative_cross_camera,
pair_000092,person_001_cam_1_02,person_002_cam_3_01,person_001,person_002,0,negative_cross_camera,
pair_000093,person_001_cam_1_02,person_002_cam_4_01,person_001,person_002,0,negative_cross_camera,
pair_000094,person_001_cam_1_02,person_003_cam_2_01,person_001,person_003,0,negative_cross_camera,
pair_000095,person_001_cam_1_02,person_003_cam_3_01,person_001,person_003,0,negative_cross_camera,
pair_000096,person_001_cam_1_02,person_003_cam_4_01,person_001,person_003,0,negative_cross_camera,
pair_000097,person_001_cam_2_01,person_002_cam_1_01,person_001,person_002,0,negative_cross_camera,
pair_000098,person_001_cam_2_01,person_002_cam_3_01,person_001,person_002,0,negative_cross_camera,
pair_000099,person_001_cam_2_01,person_002_cam_4_01,person_001,person_002,0,negative_cross_camera,
pair_000100,person_001_cam_2_01,person_003_cam_1_01,person_001,person_003,0,negative_cross_camera,
pair_000101,person_001_cam_2_01,person_003_cam_1_02,person_001,person_003,0,negative_cross_camera,
pair_000102,person_001_cam_2_01,person_003_cam_1_03,person_001,person_003,0,negative_cross_camera,
